Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-12,2016,8,12,Friday,32,2016-32,535.42,535.42,530.01,533.87,26200,513.69,-0.001197419744395356,520.255,517.4626000000001
2016-08-15,2016,8,15,Monday,33,2016-33,536.6,537.03,527.41,533.31,55200,513.16,-0.0010489092555666657,519.5028571428572,517.3340000000001
2016-08-16,2016,8,16,Tuesday,33,2016-33,532.05,539.84,522.19,523.38,42700,503.6,-0.01861960950737751,517.9942857142858,516.9950000000001
2016-08-17,2016,8,17,Wednesday,33,2016-33,523.44,523.44,517.89,519.9,60300,500.25,-0.006649021105227471,516.0057142857142,516.657
2016-08-18,2016,8,18,Thursday,33,2016-33,520.0,530.04,520.0,529.87,40000,509.85,0.01917673808900977,515.0692857142857,516.4982
2016-08-19,2016,8,19,Friday,33,2016-33,528.0,531.5,526.01,530.65,51700,510.6,0.0014719925758708285,514.1814285714286,516.314
2016-08-22,2016,8,22,Monday,34,2016-34,530.12,530.99,524.43,530.14,28500,510.1,-0.0009610788181455554,513.1685714285715,516.4188
2016-08-23,2016,8,23,Tuesday,34,2016-34,529.7,531.9,525.57,529.33,30900,509.33,-0.00152789827747557,512.5857142857143,516.6411999999999
2016-08-24,2016,8,24,Wednesday,34,2016-34,528.95,531.0,527.4,530.71,23100,510.65,0.0026070759484106976,512.2342857142856,516.8796
2016-08-25,2016,8,25,Thursday,34,2016-34,529.78,534.97,529.16,532.49,29400,512.37,0.003353953155095679,511.8021428571428,517.2134
2016-08-26,2016,8,26,Friday,34,2016-34,533.37,537.27,525.25,530.35,34900,510.31,-0.004018830663404582,511.15714285714284,517.437
2016-08-29,2016,8,29,Monday,35,2016-35,528.31,538.0,528.31,536.48,32000,516.21,0.011558427027236862,510.8607142857143,517.7769999999999
2016-08-30,2016,8,30,Tuesday,35,2016-35,535.01,537.82,533.58,536.47,23200,516.2,-1.868162584062194e-05,510.75928571428574,517.942
2016-08-31,2016,8,31,Wednesday,35,2016-35,535.79,536.73,531.65,536.2,52000,515.94,-0.0005032309174859417,510.8757142857143,518.0215999999999
2016-09-01,2016,9,1,Thursday,35,2016-35,538.34,539.79,524.79,528.32,39600,508.35,-0.01469597995716121,510.4942857142857,517.9288
2016-09-02,2016,9,2,Friday,35,2016-35,532.72,538.71,528.51,537.63,47800,517.31,0.01762190357812754,510.79071428571433,517.8334
2016-09-06,2016,9,6,Tuesday,36,2016-36,538.2,538.44,530.78,537.97,34600,517.64,0.0006322827850835377,511.79357142857145,518.0242
2016-09-07,2016,9,7,Wednesday,36,2016-36,537.48,540.61,534.99,539.5,35900,519.11,0.002844123161463319,513.1407142857144,518.5254
2016-09-08,2016,9,8,Thursday,36,2016-36,539.7,539.7,527.53,528.35,51100,508.38,-0.020667261759331312,513.0357142857143,518.5652
2016-09-09,2016,9,9,Friday,36,2016-36,525.88,525.88,516.89,517.14,38500,497.6,-0.021217045935389534,512.1071428571429,518.2004000000001
2016-09-12,2016,9,12,Monday,37,2016-37,514.05,523.01,514.05,520.87,75300,501.19,0.007212776413559885,511.4707142857143,517.648
2016-09-13,2016,9,13,Tuesday,37,2016-37,518.65,521.9,516.87,518.68,35200,499.08,-0.00420451055995863,510.73857142857145,517.2747999999999
2016-09-14,2016,9,14,Wednesday,37,2016-37,518.9,520.13,515.43,516.43,43200,496.91,-0.004337954953436141,509.75714285714287,516.8206
2016-09-15,2016,9,15,Thursday,37,2016-37,517.01,523.06,516.62,520.76,35000,501.08,0.008384467409169982,508.95071428571424,516.3574000000001
2016-09-16,2016,9,16,Friday,37,2016-37,519.2,519.95,513.88,515.02,52300,495.56,-0.011022286482368027,507.8971428571429,515.8416
2016-09-19,2016,9,19,Monday,38,2016-38,516.75,523.06,516.56,522.88,30400,503.12,0.015261487421998954,506.96214285714285,515.3666000000001
2016-09-20,2016,9,20,Tuesday,38,2016-38,524.39,532.87,521.0,522.01,41600,502.28,-0.0016638144854733694,505.96785714285716,514.8658
2016-09-21,2016,9,21,Wednesday,38,2016-38,523.64,529.62,518.72,527.81,51900,507.86,0.011110845801904023,505.39071428571424,514.4830000000001
2016-09-22,2016,9,22,Thursday,38,2016-38,529.08,535.6,527.8,532.7,46600,512.57,0.009264824277682937,505.69214285714287,514.1723999999999
2016-09-23,2016,9,23,Friday,38,2016-38,529.4,530.0,524.54,524.54,23900,504.72,-0.01531832056469229,504.79285714285714,513.7748
2016-09-26,2016,9,26,Monday,39,2016-39,523.5,524.49,520.03,520.65,32200,500.97,-0.007415945483014497,503.6021428571429,513.3466
2016-09-27,2016,9,27,Tuesday,39,2016-39,522.0,527.39,520.39,526.1,32900,506.22,0.010467593528056263,502.68142857142857,512.9838
2016-09-28,2016,9,28,Wednesday,39,2016-39,527.59,532.12,526.1,530.67,36700,510.61,0.008686537007035033,502.8407142857142,512.7284000000001
2016-09-29,2016,9,29,Thursday,39,2016-39,530.11,532.32,521.76,521.93,31700,502.21,-0.016469748553475494,503.17,512.2988
2016-09-30,2016,9,30,Friday,39,2016-39,522.45,527.73,519.89,525.02,98000,505.18,0.00592042213239341,503.455,511.8926
2016-10-03,2016,10,3,Monday,40,2016-40,522.66,525.76,518.12,518.99,29800,499.38,-0.011485296296831038,503.4764285714286,511.2596
